id,label
1,0.9975
10,0.0025
100,0.0025
1000,0.9975
10000,0.9975
10001,0.0025
10002,0.0025
10003,0.9975
10004,0.9975
10005,0.0025
10006,0.0025
10007,0.0025
10008,0.0025
10009,0.0025
1001,0.0025
10010,0.9975
10011,0.9975
10012,0.0025
10013,0.0025
10014,0.0025
10015,0.9975
10016,0.0025
10017,0.0025
10018,0.0025
10019,0.0025
1002,0.9975
10020,0.0025
10021,0.0025
10022,0.9975
10023,0.9975
10024,0.9975
10025,0.9950610995292664
10026,0.9975
10027,0.9975
10028,0.0025
10029,0.9975
1003,0.9975
10030,0.9975
10031,0.0025
10032,0.0025
10033,0.0025
10034,0.9975
10035,0.9975
10036,0.9975
10037,0.039692409336566925
10038,0.9975
10039,0.9975
1004,0.9975
10040,0.0025
10041,0.9975
10042,0.9465256333351135
10043,0.9975
10044,0.0025
10045,0.9975
10046,0.9975
10047,0.9975
10048,0.9975
10049,0.0025
1005,0.0025
10050,0.6296139359474182
10051,0.0025
10052,0.0025
10053,0.9975
10054,0.0025
10055,0.0025
10056,0.9975
10057,0.0025
10058,0.9975
10059,0.9975
1006,0.9975
10060,0.9975
10061,0.0025
10062,0.0025
10063,0.9975
10064,0.9975
10065,0.0025
10066,0.0025
10067,0.0025
10068,0.0025
10069,0.0025
1007,0.9975
10070,0.9975
10071,0.0025
10072,0.0025
10073,0.9960944056510925
10074,0.0025
10075,0.01392326783388853
10076,0.0025
10077,0.0025
10078,0.9975
10079,0.0025
1008,0.0025
10080,0.9975
10081,0.0025
10082,0.0025
10083,0.0025
10084,0.9975
10085,0.9975
10086,0.9975
10087,0.9975
10088,0.0025
10089,0.0025
1009,0.9975
10090,0.0025
10091,0.0025
10092,0.9822691679000854
10093,0.0214373916387558
10094,0.9975
10095,0.0025
10096,0.9975
10097,0.9975
10098,0.9975
10099,0.0025
101,0.0025
1010,0.9975
10100,0.9975
10101,0.9975
10102,0.0025
10103,0.0025
10104,0.9975
10105,0.9975
10106,0.0025
10107,0.0025
10108,0.9975
10109,0.0025
1011,0.0025
10110,0.9975
10111,0.0025
10112,0.0025
10113,0.9975
10114,0.0025
10115,0.0025
10116,0.9975
10117,0.0025
10118,0.0025
10119,0.9975
1012,0.9975
10120,0.0025
10121,0.0025
10122,0.0025
10123,0.0025
10124,0.9975
10125,0.007151701953262091
10126,0.0025
10127,0.9975
10128,0.0025
10129,0.9975
1013,0.0025
10130,0.0025
10131,0.9975
10132,0.0025
10133,0.0025
10134,0.9975
10135,0.9975
10136,0.9975
10137,0.0025
10138,0.9975
10139,0.9975
1014,0.9975
10140,0.9975
10141,0.9975
10142,0.9975
10143,0.9975
10144,0.9975
10145,0.0025
10146,0.9975
10147,0.9975
10148,0.8555384874343872
10149,0.0025
1015,0.0025
10150,0.011493697762489319
10151,0.0025
10152,0.0025
10153,0.9975
10154,0.0025
10155,0.9975
10156,0.0025
10157,0.004184856079518795
10158,0.0025
